number,TeacherID,speaker,utterance,ut,rc
1,3026,T,Ok. So you’re going to be talking about - we’re going to be talking about speed. So what is speed?,Q,SK
2,3026,T,"You all should probably be able to tell me that without even having to look at your book because you speed to school every day, right? ",P,EX
3,3026,S,Nope. No. ,Ry,EX
4,3026,T,You don’t? Don’t you all ride the school bus? ,Q,EX
5,3026,S,Yes. No. ,Ry,EX
6,3026,T,Is speed involved in getting to school? ,Q,EX
7,3026,S,Yeah. ,Ry,EX
8,3026,T,"Yeah, what is speed? ",Q,SK
9,3026,S,Movement. ,Rs,SK
10,3026,T,"It’s movement, ok, ",Fy,SK
11,3026,T,and what two things do we use to calculate speed? ,Q,SK
12,3026,S,Distance traveling over time. ,Rs,SK
13,3026,T,Distance traveled over…,Fq,SK
14,3026,S,Time. ,Rs,SK
15,3026,T,Time. ,Fy,SK
16,3026,T,"It’s how far you’re going, and how long did it take you to go that far, ok? ",E,SK
17,3026,T,"So if I’m driving to Houston to see my sister and I drive 50 - let’s say I drive 100 miles in two hours, ok? ",E,EX
18,3026,T,"I can look at that and I can break it down into how many miles was I going per hour, probably. ",E,OD
19,3026,T,"If I went - if I made it 100 miles in two hours, think about it.",E,OD
20,3026,T,"If I drove 200 - If I drove 100 miles and I did it in two hours, how many miles did I go each hour? ",Q,OD
21,3026,S,50,Rs,OD
22,3026,T,"I did 50, right? ",Fy,OD
23,3026,T,"I threw you a curve in there; I said two hours. So we normally know speed as miles per what, guys? ",Q,SK
24,3026,S,Hour. ,Rs,SK
25,3026,T,Hour. Miles per hour. ,Fy,SK
26,3026,T,"We’re just trying to calculate how much distance can you travel in a certain amount of time, ok? ",E,PD
27,3026,T,"So of course, the farther you go in the less time it faster or slower? ",Q,PD
28,3026,S,Faster. ,Rs,PD
29,3026,T,"Faster, right?  It would go faster. ",Fy,PD
30,3026,T,Or the less distance you cover in the same amount you’re probably going… ,Fq,PD
31,3026,S,Slower.   ,Rs,PD
32,3026,T,"Slower, so speed is all about that distance and time relationship. ",Fs,MT
33,3026,T,"And we’re going to talk about average speed vs. instantaneous speed, ok? ",P,SK
34,3026,T,"If I did drive to Houston and I took an average speed, what does average mean? ",Q,SK
35,3026,T,You all just did this on your test. ,P,NA
36,3026,T,What does average mean? ,Q,SK
37,3026,T,"If I take an average of anything, what am I doing? ",Q,SK
38,3026,S,Taking…,Rs,SK
39,3026,T,Raise your hand. Jason? ,P,SK
40,3026,S,"Oh, oh, like you total it up… ",Rs,SK
41,3026,T,"Yeah, I’m totaling up what? A list of what? ",Fq,SK
42,3026,S,The speeds. ,Rs,SK
43,3026,T,Correct.,Fy,SK
44,3026,T,"I’m dividing it by how many different speeds I went, ok?  ",E,OD
45,3026,T,"Because I started biking, and I can bike around White Rock Lake  ",E,OD
46,3026,T,and sometimes I’m going 15 miles an hour; ,E,OD
47,3026,T,"it depends if I’m going down a hill or not, ",E,OD
48,3026,T,but at the end of my trip I look at my average speed and it might tell me I went an average of 10 MPH. ,E,OD
49,3026,T,So that means it takes all my speeds and it’s going to average it all together. ,E,OD
50,3026,T,"So on the average I did about 10 MPH even though at some points I may have gone faster or slower, right? ",E,OD
51,3026,T,Are you going to go the same speed as you drive to school?   ,Q,PD
52,3026,T,What do you do between? ,Q,PD
53,3026,S,Stop. Go. ,Rs,PD
54,3026,T,"Stop, at a stop light, and then what do you do? ",Fq,OD
55,3026,S,Go. ,Rs,OD
56,3026,T,"You go, and as you start leaving the stop light what do you do? ",Fq,OD
57,3026,T,As you leave you get a little what?,Q,OD
58,3026,S,Faster. ,Rs,OD
59,3026,T,You go a little faster. ,Fs,OD
60,3026,T,So the average speed is just talking about all your speeds averaged together. ,E,MT
61,3026,T,"Now if I want to take a speed instantaneously, ",E,EX
62,3026,T,"if I want to take a speed at one instance, that means at that one moment I want to know how fast I’m going, ",E,EX
63,3026,T,so what kind of scale - what tool do I use to try to measure how I’m going at one particular second? ,Q,EX
64,3026,S,Odometer. ,Rs,EX
65,3026,T,What’s that called? ,Fq,EX
66,3026,S,Speedometer. Odometer. ,Rs,EX
67,3026,T,What’s the difference between an odometer and a speedometer? ,Q,EX
68,3026,S,A speedometer tells you how fast you’re going. ,Rs,EX
69,3026,T,"Right, the speedometer tells you how fast you’re going. ",Fs,EX
70,3026,T,It tells you your instant speed at that one moment. ,E,EX
71,3026,T,"What does the odometer do, guys? ",Q,EX
72,3026,S,How far you traveled? ,Rs,EX
73,3026,T,"Right, how far you traveled. ",Fy,EX
74,3026,T,So you can get in your car and you can reset the odometer so if you’re about to leave your house ,E,EX
75,3026,T,"and you want to calculate how good you’re driving, how fast you’re driving, you can set it to zero, ",E,EX
76,3026,T, and as you get there it’s going to calculate your miles and then you can calculate your time. ,E,EX
77,3026,T,"Ok, well send it. Ok. Alright, let’s see our class average. Hold on, we’ll do that in a minute. Alright, so let’s go over your little mini quiz here. So I asked you in your own words what equilibrium meant.",P,NA
78,3026,T,"We have several examples with Mr. Denero and a class. Let’s see what you told me here. Alright, equal amount, the same, two equal things - I think this is supposed to say balance. I think you’re [inaudible], but I understand that’s balance. Equal and in balance. Now whenever you give a definition of a word you don’t want to use the same form of the word, so if I say it’s equilibrium, I don’t want to see equal in the definition.",P,NA
79,3026,S,Some did what? ,Q,SK
80,3026,T,Ignore. So the best thing you can probably tell me is if it’s balanced. Remember we talked about equilibrium where it’s reached a stable stage or it’s in balance. ,E,SK
81,3026,T,"Think about the volcano. If the volcano is building up pressure, is that equilibrium, if it’s got pressure underneath it? ",Fq,SK
82,3026,S,Yeah. ,Q,OD
83,3026,T,"Yeah,  if it’s building up pressure? ",Fq,OD
84,3026,S,No. ,Ry,OD
85,3026,T,"No.  Is the pressure greater or less underneath the crust as it is on the outside? Where’s there the most pressure. Think about it. If your volcano is building up pressure, is it going to be greater or less than the air pressure outside the volcano? Hello, Cory, is it greater or less? ",Fq,PD
86,3026,S,Less. ,Rs,PD
87,3026,T,"Huh? Exactly; you’re not listening. Marquis, is it greater or less? ",Fq,PD
88,3026,S,I think less. ,Rs,PD
